Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,2017-03-30 19:15,0,2,Remember that time you walked into @Target for one item and that's all you left with? Us either! #ParkWestVillage #ExperienceItAll pic.twitter.com/SwJl7kwSE7,,@Target,#ParkWestVillage #ExperienceItAll,847587996962496512,https://twitter.com/ParkWestVLG/status/847587996962496512,
,2017-03-30 19:14,1,3,"Today I learned my new album Third"" is on sale and available for preorder. At @Target . Mind blown. Thanks @Target ! http://www. target.com/p/cait-brennan -third-cd/-/A-52381152 …""",,@Target @Target,,847587969821048832,https://twitter.com/PlanetCait/status/847587969821048832,
,2017-03-30 19:14,0,1,Girl let's blaze that archaeology herb until our feet don't touch the ground and we understand why all the deads made colonnades and shit,,,,847587869321342976,https://twitter.com/TheBigEasyofOz/status/847587869321342976,
,2017-03-30 19:14,0,0,@target @AskTarget Will def be a more frequent customer b/c of his service. Pls reward him with a bonus or raise. He deserves it!!,,@target @AskTarget,,847587857564925952,https://twitter.com/KatieHepler/status/847587857564925952,
,2017-03-30 19:13,0,0,"@target @AskTarget He stayed late, missed his ride & helped 2 other guests during the time. Was the BEST service I've gotten at ANY retailer",,@target @AskTarget,,847587596280635393,https://twitter.com/KatieHepler/status/847587596280635393,
,2017-03-30 19:12,0,1,Ultimate's eyes look creepy...Papa Shango should be the one who is creepy,,,,847587311621595136,https://twitter.com/BellowDGaming/status/847587311621595136,
,2017-03-30 19:11,0,0,@target @AskTarget Major thx to Leo Velez @the Tribeca for going above & beyond helping me get my iPhone. Was w/ me 3.5hs to help upgrade.,,@target @AskTarget @the,,847587189538029568,https://twitter.com/KatieHepler/status/847587189538029568,
,2017-03-30 19:10,0,0,What @Target 's mobile payments plan says about today's #retail trends http:// buff.ly/2nhILNI #mPOS pic.twitter.com/CyJgsCZIRM,,@Target,#retail #mPOS,847586776159928324,https://twitter.com/APGCashDrawer/status/847586776159928324,
,2017-03-30 19:07,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847586066483879936,https://twitter.com/dredaywifey/status/847586066483879936,
,2017-03-30 19:06,0,0,My mama got me a hot dog from @Target ! #Winning,,@Target,#Winning,847585892281835520,https://twitter.com/rhondahylton/status/847585892281835520,
,2017-03-30 19:06,0,0,"@Target thanks to your employees I lost 4 hours of time at work, $10 gas, 6 hours of my day, & disappointed my 8 and 1 year old daughter.",,@Target,,847585843032322050,https://twitter.com/tourettesmonkey/status/847585843032322050,
,2017-03-30 19:04,0,2,Currently drooling in the home section of @Target even though I'm moving across the country in 2 weeks. This is a dangerous game.,,@Target,,847585406245892096,https://twitter.com/madirochie/status/847585406245892096,
,2017-03-30 19:00,0,0,@Target Consumers Say $10M #DataBreach Deal Fair For All http:// buff.ly/2odMX2j - #CyberSecurity #DataProtection - http:// buff.ly/2odSSEo,,@Target,#DataBreach #CyberSecurity #DataProtection,847584366662369280,https://twitter.com/Austin_Kerby/status/847584366662369280,
,2017-03-30 19:00,0,0,@Target Consumers Say $10M #DataBreach Deal Fair For All http:// buff.ly/2oe0uXA - #CyberSecurity #DataProtection - http:// buff.ly/2oe0zu4,,@Target,#DataBreach #CyberSecurity #DataProtection,847584288916869121,https://twitter.com/UsmanMSheikh/status/847584288916869121,
,2017-03-30 19:00,0,0,nice outfit. Really love it,,,,847584264082178048,https://twitter.com/tirtawibi_/status/847584264082178048,
,2017-03-30 18:58,3,1,. @Target recalls 19K tic-tac-toe games over magnet hazard http:// nj-ne.ws/hk5RK4I pic.twitter.com/HetKDGPMUG,,@Target,,847583940684787712,https://twitter.com/njdotcom/status/847583940684787712,
,2017-03-30 18:54,0,3,You know you're in Kentucky when even the @Target has derby hats #kentuckykicksass #ponies,,@Target,#kentuckykicksass #ponies,847582894755385345,https://twitter.com/brookemerlino/status/847582894755385345,
,2017-03-30 18:54,0,0,@IISuperwomanII im @Target and i cant find my #bawse #BawseBook brb gonna go cry in the restroom.,,@IISuperwomanII @Target,#bawse #BawseBook,847582845702987776,https://twitter.com/berenice96gacia/status/847582845702987776,
,2017-03-30 18:46,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847580891085799424,https://twitter.com/mom2boys33/status/847580891085799424,
,2017-03-30 18:46,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847580842574655488,https://twitter.com/mom2boys33/status/847580842574655488,
,2017-03-30 18:46,0,0,"I love walking around @Target & an employee asks me if I need help finding something & I say, Just my husband."" #BraunEndorsed""",,@Target,#BraunEndorsed,847580759615524864,https://twitter.com/Shmimlyy/status/847580759615524864,
,2017-03-30 18:45,0,0,How long do you think I'd have to roam the @Target in @PalmSpringsCA to get a selfie with @helloross ?,,@Target @PalmSpringsCA @helloross,,847580592917028864,https://twitter.com/TopCub/status/847580592917028864,
,2017-03-30 18:42,0,0,The @Target mobile website is the most frustrating thing ive experienced,,@Target,,847579744455598080,https://twitter.com/nabsaade/status/847579744455598080,
,2017-03-30 18:39,1,3,Nintendo should either withdraw from the console business like Sega or also produce their games for other platforms.,,,,847579125338447872,https://twitter.com/bdsexton/status/847579125338447872,
,2017-03-30 18:38,0,0,"when is it okay to shop @Target again"" #CongressionalGoogleSearches""",,@Target,#CongressionalGoogleSearches,847578842051039232,https://twitter.com/messicah/status/847578842051039232,
,2017-03-30 18:37,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847578483219984384,https://twitter.com/pipilen/status/847578483219984384,
,2017-03-30 18:37,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847578440152662017,https://twitter.com/pipilen/status/847578440152662017,
,2017-03-30 18:35,0,0,This monokini is still very much one of my favorite finds from . @Target : http:// ow.ly/1w0i30aieYG @TargetStyle #blogger #shopthelink pic.twitter.com/YuD9rhNhWM,,@Target @TargetStyle,#blogger #shopthelink,847577975256174593,https://twitter.com/KUWKahla/status/847577975256174593,
,2017-03-30 18:35,0,0,"While @Target & @jcpenney are diversifying the women in their ads (age/race/size/etc), @oldnavy is busy...sexualizing/objectifying them? https:// twitter.com/OldNavy/status /839271115042111488 …",,@Target @jcpenney @oldnavy,,847577929362030592,https://twitter.com/SimTara/status/847577929362030592,
